f,n,number,center,syahen,sinphi,theta(RADIAN),theta(DEGREE)
250,1.492,128,63.75,258.0001211,0.247092907,1.087998964,62.33774874
250,1.492,129,64.25,258.1241223,0.248911258,1.084709184,62.14925823
250,1.492,130,64.75,258.2490319,0.250726981,1.081429246,61.96133164
250,1.492,131,65.25,258.3748488,0.252540061,1.078159169,61.77397002
250,1.492,132,65.75,258.5015716,0.254350485,1.07489897,61.58717437
250,1.492,133,66.25,258.6291989,0.256158238,1.071648665,61.40094565
250,1.492,134,66.75,258.7577294,0.257963309,1.068408272,61.21528477
250,1.492,135,67.25,258.8871617,0.259765682,1.065177804,61.03019259
250,1.492,136,67.75,259.0174946,0.261565344,1.061957276,60.84566993
250,1.492,137,68.25,259.1487266,0.263362282,1.058746702,60.66171758
250,1.492,138,68.75,259.2808564,0.265156483,1.055546094,60.47833624
250,1.492,139,69.25,259.4138826,0.266947934,1.052355464,60.29552662
250,1.492,140,69.75,259.5478039,0.268736622,1.049174824,60.11328936
250,1.492,141,70.25,259.6826188,0.270522534,1.046004183,59.93162505
250,1.492,142,70.75,259.818326,0.272305657,1.042843552,59.75053424
250,1.492,143,71.25,259.954924,0.27408598,1.03969294,59.57001746
250,1.492,144,71.75,260.0924115,0.275863489,1.036552355,59.39007518
250,1.492,145,72.25,260.230787,0.277638172,1.033421804,59.21070782
250,1.492,146,72.75,260.3700492,0.279410018,1.030301294,59.03191577
250,1.492,147,73.25,260.5101965,0.281179013,1.027190831,58.85369939
250,1.492,148,73.75,260.6512277,0.282945147,1.024090421,58.67605898
250,1.492,149,74.25,260.7931412,0.284708408,1.021000069,58.49899482
250,1.492,150,74.75,260.9359356,0.286468783,1.017919778,58.32250713
250,1.492,151,75.25,261.0796095,0.288226262,1.014849551,58.14659612
250,1.492,152,75.75,261.2241614,0.289980833,1.011789392,57.97126192
250,1.492,153,76.25,261.3695899,0.291732485,1.008739302,57.79650466
250,1.492,154,76.75,261.5158934,0.293481207,1.005699284,57.62232442
250,1.492,155,77.25,261.6630706,0.295226987,1.002669337,57.44872124
250,1.492,156,77.75,261.8111199,0.296969816,0.999649461,57.27569513
250,1.492,157,78.25,261.9600399,0.298709681,0.996639657,57.10324607
250,1.492,158,78.75,262.1098291,0.300446573,0.993639924,56.93137398
250,1.492,159,79.25,262.260486,0.302180482,0.990650258,56.76007877
250,1.492,160,79.75,262.4120091,0.303911396,0.987670659,56.58936031
250,1.492,161,80.25,262.5643969,0.305639306,0.984701123,56.41921842
250,1.492,162,80.75,262.7176479,0.307364201,0.981741647,56.24965292
250,1.492,163,81.25,262.8717606,0.309086072,0.978792226,56.08066357
250,1.492,164,81.75,263.0267334,0.310804909,0.975852856,55.9122501
250,1.492,165,82.25,263.182565,0.312520702,0.972923533,55.74441221
250,1.492,166,82.75,263.3392536,0.314233442,0.970004249,55.57714959
250,1.492,167,83.25,263.4967979,0.315943118,0.967095,55.41046187
250,1.492,168,83.75,263.6551962,0.317649723,0.964195777,55.24434865
250,1.492,169,84.25,263.8144471,0.319353246,0.961306574,55.07880953
